Godzina,KP2,KP1,KP4,KP6,KP8,KP11,G-T1,KP7,KP9,KP10,ŁPA-P1,KP16,LBT1,M1,KP25
11,151.1357894736842,7.785272108843537,10.337815699658703,85.19286689419795,113.40921658986174,34.77109215017065,58.52081632653061,22.34207482993197,1.0863139931740615,10.950170648464164,0.44489795918367353,119.31740614334471,401.1554727847972,379.49926997725066,1.7372542372881363
12,160.3700704225352,7.713617747440273,10.213515358361775,88.18883959044369,109.61168224299067,33.919488054607505,57.890136518771335,22.70487972508591,1.083458904109589,10.44277397260274,0.4257876712328767,125.80034129692832,403.1263434058843,381.7062323895155,1.8095932203389824
13,167.27543859649123,7.680479452054794,9.965479452054796,87.72003424657534,108.6429906542056,32.68140410958904,57.415102739726024,22.21147766323024,1.0146735395189004,10.262979452054795,0.36945017182130585,129.16849315068492,404.13201713844154,378.0211366150841,1.8000338983050836
14,169.66888111888113,7.604931506849315,9.762328767123288,87.13301369863014,108.40697674418605,31.382808219178084,58.848493150684924,21.492705479452056,1.076095890410959,10.27945205479452,0.38140893470790377,129.58424657534246,402.94078360712285,376.7332819435709,1.5961016949152567
15,169.2578947368421,7.513184931506849,9.801438356164384,85.82544520547945,105.84604651162792,31.04144329896907,58.18544520547945,21.38340206185567,0.9706164383561644,9.783972602739727,0.35376712328767124,125.33082191780821,400.89125320271825,383.76708543275276,1.5819322033898326
16,165.37062937062936,7.050136518771331,9.787372013651877,83.6624914675768,102.84861111111111,31.093037542662117,57.16535836177475,20.684657534246575,1.1219453924914677,9.796348122866894,0.31897610921501707,120.12730375426622,401.38245515260667,380.3079584170663,1.5443728813559296
17,159.71894736842106,6.932354948805461,9.562252559726963,81.50174061433447,103.23657407407407,30.76532423208191,56.419965870307166,20.550650684931508,1.0244709897610922,9.503412969283277,0.3244709897610921,118.73287671232876,401.20121112773495,379.26058964387477,1.9462372881355932
18,157.94507042253522,7.234280821917808,9.592808219178082,80.06350515463917,103.56093023255814,31.60681506849315,56.37174657534246,20.928934707903778,0.9841780821917808,10.20068493150685,0.4490068493150685,119.31408934707905,402.3393413858486,378.1802716115977,1.6050847457627118
19,158.81929824561402,7.72818493150685,10.04047781569966,79.00962457337884,110.04675925925925,33.26552901023891,56.42757679180887,21.739453924914674,1.1964163822525598,10.11754266211604,0.4987713310580205,120.78356164383563,402.5166837637665,384.83354123414125,1.910101694915258
20,163.62957746478875,9.040479452054795,11.124075342465753,81.55188356164383,122.13813953488372,37.90095890410959,58.715924657534245,22.824417808219177,1.3533219178082192,12.04695205479452,0.5452397260273973,124.6986301369863,403.1189404104396,375.8615689733299,2.1035593220338926
21,172.15774647887324,10.561301369863013,11.765582191780823,89.32602739726028,138.09767441860464,46.99130136986302,65.54493150684931,24.213116438356163,1.5272945205479451,13.527766323024055,0.5051027397260275,131.5419243986254,404.7583423871787,375.72654539933035,1.9238305084745788
22,178.71719298245614,10.16924914675768,11.315017064846417,94.97662116040956,140.15185185185186,48.50965870307167,65.32191126279864,23.40853242320819,1.300853242320819,13.231986301369862,0.4405460750853243,138.85119453924915,400.5511027844599,381.71463919760356,1.5508163265306125
23,179.8919298245614,8.205460750853241,9.72962457337884,93.59331058020477,122.33009259259259,36.209180887372014,62.94283276450512,21.499419795221844,0.9315017064846417,11.481643835616438,0.21569965870307167,135.30273037542662,404.1722615751285,375.0261063474876,0.18054607508532458
